"","name","Rank in analysis","blank beginning","blank end","plateau beginning","plateau end","Blank average Mg25","Blank average Ca43","Blank average Ca44","Blank average Cr52","Blank average Cr53","Blank average Mn55","Blank average Fe57","Blank average Co59","Blank average Ni60","Blank average Ni62","Blank average Cu63","Blank average Cu65","Blank average Zn66","Blank average Zn68","Blank average Sr86","Blank average Sr88","Blank average Sn118","Blank average Sn119","Blank average Sn120","Blank average Ba137","Blank average Ba138","Blank average Ce140","Blank average Pb206","Blank average Pb208","LOD Mg25","LOD Ca43","LOD Ca44","LOD Cr52","LOD Cr53","LOD Mn55","LOD Fe57","LOD Co59","LOD Ni60","LOD Ni62","LOD Cu63","LOD Cu65","LOD Zn66","LOD Zn68","LOD Sr86","LOD Sr88","LOD Sn118","LOD Sn119","LOD Sn120","LOD Ba137","LOD Ba138","LOD Ce140","LOD Pb206","LOD Pb208"
"NIST610_1.xls","NIST610_1.xls","1","0.9072","31.1908","32.0399","90.0598","14.8148148148148","70.3703703703704","4347.8212962963","20122.8527777778","226.853611111111","1021.33194444444","1088.93027777778","16.6666666666667","10.1851851851852","15.7407407407407","22.2222222222222","15.7407407407407","25","454.638611111111","657.424722222222","18.5185185185185","258.336481481481","99.0743518518519","389.821388888889","11.1111111111111","8.33333333333334","5.55555555555555","13.8888888888889","23.1481481481481","140.980102880157","236.537852707003","2021.75180281846","4558.93863101344","423.491306197108","868.226838050123","969.216421603955","119.578699694221","91.1590305310013","117.17734249852","131.845278907109","124.148188008","136.802606959912","629.288330446185","758.761278114921","124.054053136883","514.138704832816","294.328463748954","588.611266611116","103.219211426346","83.3021748602556","69.038794457804","104.232845021655","151.292458832846"
"NIST610_2.xls","NIST610_2.xls","2","0.9071","31.1907","32.0397","90.0597","23.1481481481481","58.3333333333333","4225.5637962963","19500.7875","205.557407407407","972.255185185185","1024.11055555556","25.9259259259259","24.0740740740741","17.5925925925926","32.4074074074074","22.2222222222222","29.6296296296296","458.342407407407","652.794722222222","20.3703703703704","244.447222222222","87.037037037037","357.412962962963","9.25925925925926","10.1851851851852","9.25925925925926","10.1851851851852","29.6296296296296","145.626800792417","201.454987899363","1761.3150012767","4494.69118120231","413.90352858872","911.507944099097","872.89057723369","165.948608942554","141.311172070806","114.759670317861","168.255665127068","144.040492749094","154.87911073095","634.266970104895","783.0455736491","128.130579811636","506.235695770224","275.420946587791","620.968724083865","87.3636008523807","91.1590305310013","96.5123916631864","99.9610516051438","154.87911073095"
"NIST610_3.xls","NIST610_3.xls","3","0.9083","31.1919","32.89","90.0609","21.2962962962963","45.3703703703704","4299.66157407407","20057.0133333333","193.519814814815","956.514166666667","1077.81851851852","17.5925925925926","17.5925925925926","13.8888888888889","27.7777777777778","10.1851851851852","36.1111111111111","433.340740740741","688.907777777778","22.2222222222222","131.481759259259","63.8888888888889","199.07537037037","7.4075","6.48148148148148","6.48148148148148","4.62962962962963","8.33333333333333","136.346406916822","222.331878448537","2086.48399207292","4009.86624861751","430.712721816141","1014.11646664098","999.129370850417","114.759670317861","128.585644271717","104.232845021655","157.966043908295","91.1590305310012","176.214079656419","612.510690864293","791.464667201283","144.040492749094","334.843353936767","214.922285454642","431.146125377146","151.834739668915","84.7848661038584","74.203979203241","63.3316936990578","83.3021748602555"
"NIST610_4.xls","NIST610_4.xls","4","0.9072","31.1907","32.3228","90.0597","18.5185185185185","50.9259259259259","3978.28194444444","19233.7862962963","238.890925925926","921.326481481481","1052.81666666667","24.0740740740741","12.962962962963","12.037037037037","20.3703703703704","15.7407407407407","35.1851851851852","364.820462962963","656.498055555556","16.6666666666667","147.222962962963","63.8888888888889","206.48287037037","6.48148148148148","5.55555555555556","4.62962962962963","9.25925925925926","27.7777777777778","117.077602935123","190.158975957149","2010.37766652997","4060.61470372793","384.400808344316","907.080544903122","971.919319055482","152.752523165195","101.238437284465","98.0733402220262","146.506567957988","117.17734249852","189.358648652008","571.757832609567","729.451791230378","112.324629667347","358.643602629637","230.044692935228","428.75465369853","74.203979203241","69.038794457804","63.3316936990578","87.3636008523807","146.931225567369"
"NIST610_5.xls","NIST610_5.xls","5","0.9086","31.1921","33.4563","90.0611","69.4444444444444","100","3961.61138888889","19612.0398148148","254.632407407407","931.512685185185","1064.85518518519","80.5555555555556","71.2963888888889","68.5186111111111","67.5925925925926","61.1111111111111","75.9260185185185","466.676203703704","700.019166666667","72.2223148148148","180.556388888889","115.741018518519","251.85462962963","62.037037037037","61.1111111111111","67.5925925925926","53.7037037037037","65.7407407407407","260.884548533545","287.106089350359","2016.43536564238","4678.24441488947","477.24270055336","989.237549326307","1046.01084047771","254.354598311575","246.266056153336","261.49688324343","238.554186063614","238.570509180132","258.983003824605","663.91177259033","794.29086780167","255.592750706942","383.576157119436","323.377620892842","486.143499140632","245.123784610819","208.465690043311","242.054420903911","210.843137570176","269.460635841142"
"NIST610_6.xls","NIST610_6.xls","6","0.9072","31.1908","32.0398","90.0598","37.962962962963","70.3703703703704","3710.62212962963","19223.5809259259","273.151111111111","866.693611111111","990.775925925926","40.7407407407407","43.5186111111111","44.444537037037","52.7777777777778","44.4444444444444","60.1851851851852","430.563518518518","715.76037037037","56.4814814814815","156.482407407407","88.8888888888889","189.816296296296","33.3333333333333","35.1851851851852","27.7777777777778","39.8148148148148","64.8149074074074","191.13939393221","236.537852707003","1694.44566025415","3762.63396144389","501.685005233997","915.33799617381","1038.91798690675","169.293934141397","221.912478205736","243.803582673063","206.94710146252","193.830063349172","228.140935836516","586.491349712456","704.684897630343","240.116145312795","412.761013540225","260.481222528073","456.622628013228","187.955055275825","184.863340953961","157.966043908295","173.721408369425","240.263231829344"
"NIST610_7.xls","NIST610_7.xls","7","0.9072","31.1907","32.3228","90.0597","119.44462962963","148.148333333333","3968.09398148148","19749.2391666667","292.595925925926","923.178425925926","1012.99972222222","129.63","116.666851851852","125.000555555556","131.481944444444","97.2223148148148","150.000648148148","469.454166666667","770.39287037037","162.0375","235.18712962963","164.815740740741","279.632962962963","112.037314814815","101.851944444444","112.963148148148","98.1482407407407","88.8890740740741","341.829013957075","376.987485043521","1935.52737080745","4506.1215304438","501.847658046348","959.849124138407","976.785596071022","346.233125190874","294.340733345269","357.859642055582","363.741747989065","297.065940332327","356.387836176669","725.032230003714","860.640627029839","337.519799870921","391.944990440875","389.788943708094","562.026612441272","289.203258879721","284.107396013185","325.788332203117","295.712967059001","302.329151595345"
"NIST610_8.xls","NIST610_8.xls","8","0.9072","31.1908","32.6059","90.0598","81.4814814814815","115.740740740741","3633.75518518519","19283.8456481481","291.670555555556","899.1025","854.656666666667","79.6297222222222","84.2592592592593","79.6297222222222","93.5185185185185","76.8518518518518","90.7408333333333","446.30462962963","650.942407407407","106.481574074074","175.000740740741","110.185185185185","224.076111111111","80.5556481481481","66.6666666666667","70.3703703703704","77.7778703703704","98.1483333333334","290.450289578976","320.763788635327","1912.38587495215","4029.36346400575","523.86156969987","774.451678359762","884.859858015439","261.853999668307","253.372885910552","280.465639760408","275.971803155814","267.720852435257","261.139171085075","606.194092505423","691.831222324395","287.906064329135","367.14154756736","281.005648439366","452.796248363186","285.515724576241","228.362721805203","236.537852707003","285.147248416255","284.108300646535"
"CC7-22-379.xls","CC7-22-379.xls","9","0.9072","30.9077","35.1531","317.6111","378.508691588785","390.658971962617","4501.57785046729","20536.5485981308","585.995514018692","1257.06168224299","1285.10224299065","375.707289719626","333.649813084112","361.688317757009","371.034205607477","388.791869158879","320.565140186916","770.116261682243","990.690186915888","378.511214953271","447.671869158879","367.295607476635","525.245420560748","337.387757009346","327.10785046729","321.499439252336","347.668971962617","343.930560747664","574.019534323047","621.613843838536","2162.18569732995","4360.2560144106","692.580649244361","1047.5389175401","1068.95772029702","596.958575630767","549.714879827221","652.418050475009","588.605519376312","608.90633410374","573.59410814992","836.694965329062","1063.15735760067","559.036077541686","637.546516870667","517.627526357166","733.82861500171","518.850833989551","518.93051690018","480.629996516926","562.54393055525","505.01021828348"
"OP1-22-34.xls","OP1-22-34.xls","10","0.907","31.1906","32.0396","259.874","11.1111111111111","49.0740740740741","4026.43916666667","19913.3218518519","233.335555555556","947.254444444444","1032.44481481481","16.6666666666667","23.1481481481481","19.4444444444444","25.9259259259259","13.8888888888889","24.0740740740741","456.490462962963","637.052962962963","14.8148148148148","129.629722222222","64.8148148148148","205.556666666667","6.48148148148148","7.40740740740741","2.77777777777778","5.55555555555555","20.3703703703704","103.219211426346","222.75183514913","1798.28454898443","4216.8115003882","458.574019123362","945.593807163411","982.567866045735","112.324629667347","139.731607442196","138.836958100426","144.256607638444","112.012182248015","152.752523165195","600.40608194641","729.818708360864","114.65782766773","321.019598409272","222.069002214511","439.527422633365","74.2039792032411","78.933703796386","49.5305060345378","69.038794457804","134.535082686711"
"OP1-22-123.xls","OP1-22-123.xls","11","0.9072","30.9077","31.7568","298.9314","313.086261682243","300.002523364486","4034.16121495327","20753.644953271","505.618037383178","1180.42056074766","1214.06925233645","299.069158878505","285.049906542056","300.004112149533","319.631028037383","292.52691588785","328.041869158878","694.411495327103","945.827476635514","301.873271028037","419.633925233645","328.042242990654","453.279813084112","288.788785046729","278.507757009346","282.246542056075","310.284299065421","297.200186915888","516.48487198381","538.879025397081","1852.50331545518","4207.2261066465","624.749607557546","1009.83548268497","1031.46987584517","477.914510761499","499.30281997106","558.990599999575","537.997595497557","524.025055172453","561.710649085952","767.477248809412","985.85673718282","514.673744805792","659.919493894739","538.55866570609","562.505471429711","556.443128742973","497.980643286721","549.512533831208","524.402648569239","536.446581901353"
"OP2-S22-100.xls","OP2-S22-100.xls","12","0.9072","31.1908","46.191","349.0267","10.1851851851852","52.7777777777778","4588.62916666667","20446.4171296296","214.816666666667","978.737777777778","1165.78777777778","20.370462962963","16.6666666666667","20.3703703703704","20.3703703703704","8.33333333333333","20.3703703703704","448.156574074074","673.166203703704","10.1851851851852","196.297407407407","89.815","260.188333333333","3.7037037037037","4.62962962962963","5.55555555555556","6.48148148148148","14.8148148148148","91.1590305310012","202.841957723456","2011.45478009396","4834.13410839641","447.083668892808","1002.24782746109","1008.21455003341","182.320273835149","119.578699694221","134.535082686711","128.130579811636","83.3021748602555","140.648254394338","614.538851910437","741.270753456407","91.1590305310013","405.882984357902","286.931825161752","523.563190624241","56.9199032800311","63.3316936990578","80.3031638906037","74.2039792032411","107.070885187471"
"OP3-22-132.xls","OP3-22-132.xls","13","0.9072","30.9078","33.172","237.5153","21.4953271028037","52.3364485981308","4305.26130841122","20677.8625233645","218.69308411215","961.715794392523","983.212897196262","29.9065420560748","21.4953271028037","16.8224299065421","25.2336448598131","13.0841121495327","28.0373831775701","408.418411214953","707.495420560748","28.0373831775701","172.898317757009","60.7476635514019","214.954859813084","5.60747663551402","2.80373831775701","2.80373831775701","7.47663551401869","12.1495327102804","130.494224876623","215.490729797858","2069.33977860078","4719.7586448807","424.534235170158","1059.23995249116","1011.54308469791","165.936211567255","130.494224876623","126.918360162581","149.111280146885","101.644041622319","153.050449636763","537.49900063329","715.799578274248","168.875041840577","404.959785728545","249.835071677353","405.450659504929","69.3446156422266","49.7569476083734","49.7569476083734","89.3460636914743","106.746502186949"
"OP4-22-23.xls","OP4-22-23.xls","14","0.9071","31.4737","33.7379","259.8741","285.322568807339","319.268899082569","4444.66027522936","20260.5390825688","499.092844036697","1180.78064220183","1305.56165137615","327.52752293578","310.096055045872","317.435779816514","318.353302752294","307.343486238532","292.664403669725","698.184495412844","1023.91302752294","1030.29743119266","438.540458715596","355.968532110092","479.826422018349","301.843119266055","409.254862385321","288.994495412844","336.707798165138","354.149357798165","503.042117212924","600.679292167618","1837.82377334561","4318.55150320595","665.224794062024","999.642248109086","1032.74362958185","565.513606838302","484.687149905626","522.579603701573","532.565648598916","501.191578929258","530.276862362659","857.352455872984","2706.97493817824","22791.7396532945","660.716594430942","525.105549640985","693.78430463561","1175.57326448771","4554.44288391496","508.835746393769","1356.46732330318","2076.3842121152"
"OP5-22-33.xls","OP5-22-33.xls","15","0.9072","32.0398","48.1722","277.1386","27.9279279279279","66.6666666666667","3889.67036036036","19404.5818918919","206.307747747748","869.397117117117","970.304414414414","35.1351351351351","36.9369369369369","40.5406306306306","51.3514414414414","24.3243243243243","46.8468468468468","372.077837837838","614.42981981982","47.7477477477477","140.541351351351","63.9640540540541","152.253153153153","27.027027027027","29.7297297297297","28.8288288288288","27.027027027027","32.4324324324324","141.125695450765","253.699894291733","1893.21536662624","4721.56204255861","415.06853892331","947.696351563273","983.963467634077","169.940009649308","175.991400281301","211.663816027868","238.855955704847","135.476228002585","201.529775999108","568.035358892462","707.471546809594","201.639471975297","375.966203025021","251.951712366424","391.88382309473","156.387347496536","154.538227898678","163.755075694541","166.522460135952","152.231557748212"
"OP5-22-136.xls","OP5-22-136.xls","16","0.9083","30.9089","41.9468","292.7061","83.177570093458","100.934579439252","4083.70420560748","18578.0856074766","263.554112149533","858.904859813084","964.518878504673","77.5701869158878","73.8318691588785","54.2056074766355","89.72","63.5514018691589","85.0467289719626","465.429719626168","623.380560747663","88.7854205607477","157.944953271028","111.215140186916","205.609158878505","65.4205607476636","60.7476635514019","62.6168224299065","72.8971962616822","72.8972897196262","268.60008562064","289.91148418981","1731.431339774","4152.549475783","369.490655105819","864.386576679627","763.511469265455","248.306947466357","280.508625953459","222.982935503273","313.658384420027","241.665881261936","263.228735047452","650.409817919066","814.434946133781","314.719410564225","405.938003583697","333.067765628151","458.571895881801","254.367596742618","224.79050377451","223.90626423768","242.288943798669","227.842127190931"
"OP6-22-146.xls","OP6-22-146.xls","17","0.9072","30.9078","32.3229","268.9309","54.2056074766355","83.177570093458","4013.59626168224","19146.9727102804","255.142336448598","810.304205607477","948.631401869159","55.1401869158879","62.6168224299065","45.7943925233645","71.9627102803738","66.3551401869159","76.6356074766355","405.614392523364","610.295514018692","70.0934579439252","171.963644859813","69.1588785046729","200.936168224299","35.5140186915888","44.8598130841121","45.7943925233645","38.3177570093458","46.7289719626168","215.232811417224","301.372280209103","1906.37143499466","3989.55700038595","422.737728278231","735.96539479421","1055.80274291698","207.001414514499","235.007137737379","207.192993837794","269.574257313096","250.469493906718","278.207830416224","606.821544423565","720.803107122833","237.492633228053","381.697996014365","238.193252197343","435.13116686031","189.970716729186","202.858256926989","203.053745318625","182.644999682474","194.674286798228"
"OP7-22-226.xls","OP7-22-226.xls","18","0.9072","29.7757","33.455","230.1566","337.866601941748","350.489417475728","4478.30747572816","20139.8594174757","548.556213592233","1187.42708737864","1339.86650485437","282.527475728155","311.654854368932","333.985145631068","347.577766990291","351.461941747573","309.712718446602","791.285436893204","977.704174757282","329.130873786408","485.446601941748","355.345145631068","516.515825242718","313.596893203883","323.305631067961","350.490873786408","308.742233009709","304.858446601942","526.570626242607","561.852162952643","2204.73531932728","4091.01774506085","740.692024629073","1051.69687525584","1113.38310504021","503.110316455987","564.089083685277","453.535525118662","557.075188999475","618.648422636347","478.089147259124","871.258820002044","997.644481827578","505.219236169806","639.060648455124","510.600359142475","630.286241296822","573.00891807087","528.393678815163","553.944878492226","544.678431417788","540.240856493776"
"OP7-22-387.xls","OP7-22-387.xls","19","0.9072","31.1907","32.0398","255.0627","23.1481481481481","61.1111111111111","4115.35453703704","20117.3021296296","221.298055555556","928.733425925926","1098.19018518519","31.4814814814815","29.6296296296296","25.9259259259259","39.8149074074074","34.2592592592593","37.037037037037","429.637777777778","666.683888888889","28.7037037037037","152.778148148148","60.1851851851852","196.297685185185","13.8888888888889","13.8888888888889","6.48148148148148","15.7407407407407","24.0740740740741","156.753472339029","220.237764466488","2098.65923819175","4921.41863795892","432.229731331572","813.189166382799","968.90787561253","156.976891765274","160.217920132125","149.974037213133","208.896332132536","174.794048816193","190.588529400226","641.038609575394","713.978913548284","153.743525558283","339.360751499885","216.79842626827","435.861598953129","104.232845021655","112.012182248015","74.203979203241","124.148188008","141.311172070806"
"CC10-22-180.xls","CC10-22-180.xls","20","0.9072","29.2096","32.0398","305.441","447.530594059406","457.432574257426","4439.2401980198","20517.1171287129","636.649603960396","1329.76099009901","1494.13396039604","435.651287128713","421.789900990099","468.325643564356","449.513762376238","416.83900990099","432.68198019802","865.37405940594","1023.7999009901","455.454752475248","549.517623762376","470.30603960396","608.926138613861","460.405247524752","452.484158415842","400.997128712871","427.730594059406","422.780099009901","617.16330106771","613.882798853138","2166.85455952901","4268.8349415364","762.202266390342","1061.2108534844","1202.22922676561","576.434333927066","570.182910044585","602.910610037247","623.016084953933","594.094782824331","723.902966562755","853.267063326136","990.65633840243","637.091080289697","714.537309909478","557.316448534785","727.6140383194","639.350032813554","696.637643727937","602.258916970151","642.218124821148","631.990127197341"
"OP7-S22-105.xls","OP7-S22-105.xls","21","0.9072","30.9077","32.0398","176.382","17.7570093457944","59.8130841121495","4398.74485981308","19146.05","200.001869158878","980.407943925234","1130.88514018692","14.9532710280374","16.8224299065421","13.0841121495327","23.3644859813084","14.018691588785","31.7757009345794","439.260560747664","701.887757009346","24.2990654205608","163.552523364486","58.8785981308411","209.347289719626","7.47663551401869","4.67289719626168","5.60747663551402","5.60747663551402","10.2803738317757","122.334028504195","225.178469159511","2102.59226335748","4438.45237748241","457.03073692551","987.715819641025","911.700259367473","107.487291798044","120.042313118381","117.165428401103","167.790836365156","119.77761089302","162.749476172298","648.65186748041","707.781990415255","135.681434234159","389.620484721728","243.629206892388","448.653382920387","79.2755062400349","75.7959003855291","69.3446156422267","69.3446156422267","100.387189058327"
"OP7-S22-106.xls","OP7-S22-106.xls","22","0.9072","31.4738","32.8889","262.4214","202.752660550459","265.139449541284","4236.35","19748.8879816514","388.997339449541","1094.53596330275","1189.95697247706","243.121559633028","244.956880733945","218.350183486239","235.782201834862","212.846146788991","247.70880733945","625.703944954128","844.980458715596","216.517155963303","320.18743119266","238.534403669725","376.152935779817","217.433211009174","242.207155963303","191.744678899083","215.59871559633","228.443944954128","419.245760476323","548.305334900711","2046.08783275955","4148.8835216975","583.598794044935","957.344850642645","1043.26412164342","406.964156062388","482.170250062106","416.67158482394","485.678744376668","451.12086722792","499.339714117967","815.925064563921","881.793473631868","839.226780615067","520.879302724468","447.053303466734","582.969240159129","433.684127195527","1069.61203204006","428.43296016936","570.36378276063","767.186674784548"
"OP9-22-279.xls","OP9-22-279.xls","23","0.9071","31.4737","32.3228","253.6476","53.2110091743119","74.3119266055046","3894.06009174312","19272.1741284404","230.277064220183","888.102201834862","920.214220183486","52.2936697247706","41.2844036697248","44.0366972477064","54.1284403669725","40.3669724770642","56.8809174311927","399.089266055046","654.145504587156","190.910458715596","111.009449541284","69.7247706422018","173.395688073394","30.2753211009174","94.5074311926604","27.5229357798165","67.894495412844","81.6617431192659","218.20788001143","265.843530812051","1886.5009097599","4509.43372281231","438.766797860829","882.96490784702","966.824404362839","222.098619186033","192.401529681688","201.788638020704","210.285956464616","204.610467535452","292.598868576682","526.794045883626","714.798040258998","4880.24541582078","309.14105879126","253.326492745242","444.685746330428","189.318765074886","1808.61266744432","146.467059055541","1097.7760486812","1637.47777301375"
"OP9-22-334.xls","OP9-22-334.xls","24","0.9072","31.7568","33.1719","169.0234","189.189","768.064636363638","16545.5819090909","19124.1630909091","215.455909090909","1076.43290909091","1209.16709090909","25.4545454545455","36.3652727272727","14.5454545454545","96.381909090909","46.3670909090909","166.427181818182","550.081545454545","982.266909090909","3432.47409090908","170.002363636364","70.0003636363636","265.462090909091","296.621181818183","1868.02090909091","29.0934545454545","196.436636363636","324.744545454546","5377.08170132174","22262.5643495596","383523.457708452","4131.64165158603","430.428778546706","3082.7814490766","2946.98911373081","154.401640391101","692.943247750157","120.798013781041","2285.64105532919","1002.68233488575","4257.9059018925","4536.36021423992","10892.1155585086","101350.083110413","726.472150816919","384.561487600602","1260.19300467465","8363.92976624494","54175.407834021","830.257238236381","4335.17941088556","7151.02153907696"
